0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Condition Crop,6,,,,,,,,,,,,,,,,,,,,,
2021,0.01 5,0.14,0.06,-0.16,0.04,0.08,1.84,-0.16,0.05,-0.24 1.67,0.00,6.11,0.43,0.09,0.24,6.38,0.08 -0.85,1.79,0.00,-0.18,0.01,17.20
2022,600- 4,0.06,0.06,0.06,0.04,-0.03,660,0.15,0.03,0.54 2.77,,0.00 5.16,1.86,-0.24,0.36,-2.83,-0.14,-0.33 1.37,-0.02,-0.19,0.31,9.78
Increase/Decreaseover 2023,0.08 3,0.07,-0.09,0.13,0.20,-0.10,0.63,0.07,0.08,0.20 2.29,0.00,3.46,2.48,-0.40,0.34,-2.65,0.18 -0.32,1.09,-0.04,-0.01,0.34,8.02
Normal of Corr. week 2,-0.04,0.11,0.15 -0.12,,1.01,-0.04,5.09,-0.15,0.01,0.10 3.14,0.00,5.41,0.38,-0.04,0.17,2.11,600 -0.66,1.72,-0.18,-0.12,0.04,18.19
11 2019,1.320,0.587 0.200,3.880,2.545,,5.069,5.150,2.950,2.026,2.480 15.183,0.000,20.980,18.487,3.530,1.600,52.896,1.181 3.979,18.839,1.970,0.380,1.568,166.801
2020 10,1.416,0.633 0.190,,3.910,2.780,4.986,4.680,2.830,2.127,2.864 20.990,0.000,20.960,18.640,3.689,1.080,54.616,1.814 1.472,19.183,1.960,0.482,1.759,173.060
Area Covered (SDA) 2021..,1.270 9,0.628 0.326,3.740,,2.890,4.875,4.230,2.650,2.131,2.908 20.910,0.000,21.010,16.700,3.699,1.060,52.187,1.570 2.684,19.384,1.540,0.504,1.416,168.312
2022,1.370 8,0.701,0.324,3.515,2.890,4.988,5.080,2.341,2.051,2.124 19.810,0.000,21.960,15.274,4.029,0.940,61.401 1.795,2.157,19.804 1.560,,0.508,1.116,175.738
2023,1.200,0.696 0.356,,3.444,2.730,5.061,5.440,2.424,1.996,2.465 20.290,0.000,23.660,14.654,4.185,0.960,61.226,1.473 2.150,20.085,1.580,0.334,1.086,177.494
Current Week 2024,1.280 6,0.763,0.263,3.576,2.926,4.957,6.070,2.493,2.079,2.669 22.580,0.000,27.120,17.131,3.788,1.300,58.571,1.652 1.830,21.177,1.540,0.322,1.427,185.515
Normalof Corr. week,1.32 5,0.65,0.11,3.70,1:91,5.00,0.98,2.64,2.07,2.57 19.44,0.00,21.71,16.75,3.83,1.13,56.47,1.57,"2,49 19.46",.72,0.44,1.39,167.32
Target Kharif 2024 4,2.19,0.76,0.70,3.66,3.66,6.20,6.60,2.78,2.15,3.42 25.72,0.00,24.21,16.43,5.34,1.11,59.66,4.91 2.60,23.04,1.55,0.46,1.52,198.66
Normal Area (DES),2.03 3,0.71,0.46,2.06,1.95,7.24,5.35,2.77,2.97 2.73,24.43,0.00,19.05,18.42,1.60,1.07,57.46,5.48,3.30 18.05,1.54,0.59,1.60,180.86
State,ANDHRAPRADESH 2,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND KARNATAKA,,KERALA,MADHYAPRADESH MAHARASHTRA 13,ODISHA,PUNJAB,RAJASTHAN,TAMIL NADU TELANGANA,UTTARPRADESH,UTTARAKHAND,jWESTBENGAL,Others..,CENTRAL LEVEL
Sl.No.,,2,3,寸,5,6,7,8,の,10 1,,2,14,15,,7 1,8,20,,2,23,
